Language,Query,Weight,Bucket,Comment,Expectation,Parsed,SearchQuality,Rank
he,2012-10-28,31.50,תאריך,Not showing the lessons of that day,https://archive.kbb1.com/he/lessons/c/P8JL6hln?language=he,c|P8JL6hln|,Unknown,-1
he,2012-10-28,31.50,תאריך,Not showing the lessons of that day,https://archive.kbb1.com/he/programs?dates=2015-10-28_2015-10-28,p||dates - 2015-10-28_2015-10-28,Unknown,-1
he,דרורי,56.00,אורח,no uid,https://archive.kbb1.com/he/events/cu/mgLQmqkl?language=he,cu|mgLQmqkl|,Good,1
he,גיל קופטש,14.00,אורח,,https://archive.kbb1.com/he/programs/c/4D87X3Oo,c|4D87X3Oo|,Good,1
he,גיל קופטש,14.00,אורח,,https://archive.kbb1.com/he/programs/cu/es60Vfio?language=he,cu|es60Vfio|,Regular,4
he,גיל קופטש,14.00,אורח,,https://archive.kbb1.com/he/programs/cu/vTCcgK1w?language=he,cu|vTCcgK1w|,Regular,5
he,גיל קופטש,14.00,אורח,,https://archive.kbb1.com/he/lessons/cu/xlxAzvjI?language=he,cu|xlxAzvjI|,Good,2
he,האומה,18.00,מאמר הפצה,,https://archive.kbb1.com/he/sources/Zo6BQz8E,s|Zo6BQz8E|,Unknown,-1
he,מסמך ארוסה,18.00,מאמר הפצה,,https://archive.kbb1.com/he/lessons/cu/I3d6eaKU?language=en,cu|I3d6eaKU|,Unknown,-1
he,ארוסה,18.00,מאמר הפצה,,https://archive.kbb1.com/he/lessons/cu/I3d6eaKU?language=en,cu|I3d6eaKU|,Unknown,-1
