Language,Query,Weight,Bucket,Comment,#1,#1 Parsed,#1 SQ,#1 Rank,#2,#2 Parsed,#2 SQ,#2 Rank,#3,#3 Parsed,#3 SQ,#3 Rank,#4,#4 Parsed,#4 SQ,#4 Rank,#5,#5 Parsed,#5 SQ,#5 Rank
he,אגרת,82,אגרות,,https://archive.kbb1.com/he/sources/9ZIJ9CkI,s|9ZIJ9CkI|,Unknown,-1,https://archive.kbb1.com/he/sources/VUcyhrcS,s|VUcyhrcS|,Unknown,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,אגרות,82,אגרות,,https://archive.kbb1.com/he/sources/DVSS0xAR,s|DVSS0xAR|,Regular,4,https://archive.kbb1.com/he/sources/b8SHlrfH,s|b8SHlrfH|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,"אגרת ט""ז",82,אגרות,,https://archive.kbb1.com/he/sources/OHNHBjqH,s|OHNHBjqH|,Good,2,https://archive.kbb1.com/he/sources/0UXdbMmk,s|0UXdbMmk|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,אגרת טז,82,אגרות,,https://archive.kbb1.com/he/sources/OHNHBjqH,s|OHNHBjqH|,Good,2,https://archive.kbb1.com/he/sources/0UXdbMmk,s|0UXdbMmk|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הנקודה שבלב,66,ספר הפצה,,https://archive.kbb1.com/he/programs?program=%7CJZkZxLgv,p||program - %7CJZkZxLgv,Unknown,-1,http://66books.co.il/shop/%D7%94%D7%A0%D7%A7%D7%95%D7%93%D7%94-%D7%A9%D7%91%D7%9C%D7%91/,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,מבט לקבלה,66,ספר הפצה,,https://archive.kbb1.com/he/programs/cu/24gMqvTk,cu|24gMqvTk|,Good,1,https://archive.kbb1.com/he/programs/cu/24gMqvTk?language=he,cu|24gMqvTk|,Good,1,http://66books.co.il/shop/%D7%9E%D7%91%D7%98-%D7%9C%D7%A7%D7%91%D7%9C%D7%94-epub-%D7%92%D7%99%D7%A8%D7%A1%D7%90-%D7%9C%D7%A0%D7%99%D7%99%D7%93/,bs||,NoExpectation,-1,http://www.kab.co.il/heb/content/view/frame/2373?/heb/content/view/full/2373&main,bs||,NoExpectation,-1,,e||,NoExpectation,-1
he,הכל יחסים,66,ספר הפצה,,?,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,המקובל,66,ספר הפצה,,http://66books.co.il/shop/%D7%94%D7%9E%D7%A7%D7%95%D7%91%D7%9C-%D7%A8%D7%95%D7%9E%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2%D7%99/,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,01/09/2015,63,תאריך,Not showing the lessons of that day,https://archive.kbb1.com/he/lessons/c/yEmCC7kf?language=he,c|yEmCC7kf|,Unknown,-1,https://archive.kbb1.com/he/programs?dates=2015-09-01_2015-09-01,p||dates - 2015-09-01_2015-09-01,Unknown,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,2012-10-28,63,תאריך,Not showing the lessons of that day,https://archive.kbb1.com/he/lessons/c/P8JL6hln?language=he,c|P8JL6hln|,Unknown,-1,https://archive.kbb1.com/he/programs?dates=2015-10-28_2015-10-28,p||dates - 2015-10-28_2015-10-28,Unknown,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
